symbol_a,symbol_b,correlation
ADANIENT,ADANIENT,1.0
ADANIENT,ADANIPORTS,0.8742327718906922
ADANIENT,APOLLOHOSP,0.13650102811323397
ADANIENT,ASIANPAINT,0.2915825013322293
ADANIENT,AXISBANK,0.29773589538619555
ADANIENT,BAJAJ-AUTO,0.2018713827275942
ADANIENT,BAJAJFINSV,0.35654728196026436
ADANIENT,BAJFINANCE,0.3360313317631641
ADANIENT,BEL,0.5226803439273445
ADANIENT,BHARTIARTL,0.2828588856679531
ADANIENT,BPCL,0.45528917443931105
ADANIENT,BRITANNIA,0.13065452751712736
ADANIENT,CIPLA,0.09423833987571031
ADANIENT,COALINDIA,0.49453393923651795
ADANIENT,DRREDDY,0.16455213475025532
ADANIENT,EICHERMOT,0.33164697118309283
ADANIENT,GRASIM,0.34446791320876796
ADANIENT,HCLTECH,0.13991584818529543
ADANIENT,HDFCBANK,0.33811803466909623
ADANIENT,HDFCLIFE,0.21683936983717594
ADANIENT,HEROMOTOCO,0.20857649616245805
ADANIENT,HINDALCO,0.3049663395211938
ADANIENT,HINDUNILVR,-0.0007956567569890336
ADANIENT,ICICIBANK,0.3945843733469138
ADANIENT,INDUSINDBK,0.39134697585260536
ADANIENT,INFY,0.1151490132008911
ADANIENT,ITC,0.2458028586259034
ADANIENT,JSWSTEEL,0.40566412739227775
ADANIENT,KOTAKBANK,0.24375207896029524
ADANIENT,LT,0.4831361669543136
ADANIENT,M&M,0.3045447926385933
ADANIENT,MARUTI,0.31565893828886393
ADANIENT,NESTLEIND,0.11501655149208942
ADANIENT,NTPC,0.5459596333932084
ADANIENT,ONGC,0.4849098585045118
ADANIENT,POWERGRID,0.4039462756861802
ADANIENT,RELIANCE,0.48709678829663877
ADANIENT,SBILIFE,0.2891926637601976
ADANIENT,SBIN,0.5446973988449255
ADANIENT,SHRIRAMFIN,0.4102982543331034
ADANIENT,SUNPHARMA,0.16625555123449853
ADANIENT,TATACONSUM,0.20384725008722163
ADANIENT,TATAMOTORS,0.3240711368540584
ADANIENT,TATASTEEL,0.4235630087690204
ADANIENT,TCS,0.11579045507499162
ADANIENT,TECHM,0.14167733642876768
ADANIENT,TITAN,0.28328071027247675
ADANIENT,TRENT,0.19041163423274673
ADANIENT,ULTRACEMCO,0.3611521740873146
ADANIENT,WIPRO,0.22400300357869157
ADANIPORTS,ADANIENT,0.8742327718906922
ADANIPORTS,ADANIPORTS,1.0
ADANIPORTS,APOLLOHOSP,0.16890218696579673
ADANIPORTS,ASIANPAINT,0.2740447644421619
ADANIPORTS,AXISBANK,0.38051441375563605
ADANIPORTS,BAJAJ-AUTO,0.20445588201234385
ADANIPORTS,BAJAJFINSV,0.3980409902991861
ADANIPORTS,BAJFINANCE,0.3987688092406956
ADANIPORTS,BEL,0.5856717101385667
ADANIPORTS,BHARTIARTL,0.31653678948863245
ADANIPORTS,BPCL,0.4951165145628619
ADANIPORTS,BRITANNIA,0.13339957142274125
ADANIPORTS,CIPLA,0.09111765627994348
ADANIPORTS,COALINDIA,0.5462015362250399
ADANIPORTS,DRREDDY,0.16097227508658982
ADANIPORTS,EICHERMOT,0.2696101621425376
ADANIPORTS,GRASIM,0.3561018510820143
ADANIPORTS,HCLTECH,0.15263950984390606
ADANIPORTS,HDFCBANK,0.3753048989812308
ADANIPORTS,HDFCLIFE,0.24705928318329237
ADANIPORTS,HEROMOTOCO,0.20251187920765518
ADANIPORTS,HINDALCO,0.33776150800328864
ADANIPORTS,HINDUNILVR,0.002375597680073499
ADANIPORTS,ICICIBANK,0.44228876077180634
ADANIPORTS,INDUSINDBK,0.4224310250507616
ADANIPORTS,INFY,0.14939963769592102
ADANIPORTS,ITC,0.2737742060398364
ADANIPORTS,JSWSTEEL,0.4346056333880308
ADANIPORTS,KOTAKBANK,0.3058384052939919
ADANIPORTS,LT,0.5139742464591516
ADANIPORTS,M&M,0.31938111017856874
ADANIPORTS,MARUTI,0.30234181062017373
ADANIPORTS,NESTLEIND,0.08784346363558944
ADANIPORTS,NTPC,0.6104642922480006
ADANIPORTS,ONGC,0.5218032460309534
ADANIPORTS,POWERGRID,0.5116959571605549
ADANIPORTS,RELIANCE,0.5127359236075946
ADANIPORTS,SBILIFE,0.28461312511245185
ADANIPORTS,SBIN,0.579515887444585
ADANIPORTS,SHRIRAMFIN,0.46989037529577304
ADANIPORTS,SUNPHARMA,0.2158557940043052
ADANIPORTS,TATACONSUM,0.22065499778075612
ADANIPORTS,TATAMOTORS,0.33924128192542985
ADANIPORTS,TATASTEEL,0.46604258720999453
ADANIPORTS,TCS,0.13242270962039474
ADANIPORTS,TECHM,0.14803390244205863
ADANIPORTS,TITAN,0.2961483418084938
ADANIPORTS,TRENT,0.20107648053316038
ADANIPORTS,ULTRACEMCO,0.4024886309461049
ADANIPORTS,WIPRO,0.23898560924883147
APOLLOHOSP,ADANIENT,0.13650102811323397
APOLLOHOSP,ADANIPORTS,0.16890218696579673
APOLLOHOSP,APOLLOHOSP,1.0
APOLLOHOSP,ASIANPAINT,0.2580550091044096
APOLLOHOSP,AXISBANK,0.1793812902809024
APOLLOHOSP,BAJAJ-AUTO,0.22389982865179275
APOLLOHOSP,BAJAJFINSV,0.24939202484899445
APOLLOHOSP,BAJFINANCE,0.223142114093944
APOLLOHOSP,BEL,0.22459395037896862
