sector,avg_yearly_return_pct,avg_volatility,stocks
RETAILING,113.3054,0.2953,2
DEFENCE,101.7601,0.3696,1
TELECOM,69.599,0.2163,1
POWER,60.1841,0.3028,2
AUTOMOBILES,54.5266,0.2674,6
MINING,41.8465,0.3399,1
SOFTWARE,38.2759,0.2395,5
CEMENT,36.9709,0.2272,1
ENERGY,36.5648,0.3063,3
ALUMINIUM,35.8683,0.3109,1
TEXTILES,35.782,0.2296,1
PHARMACEUTICALS,31.3792,0.2146,3
MISCELLANEOUS,21.8451,0.3639,3
STEEL,19.2172,0.2748,2
ENGINEERING,17.2537,0.2693,1
INSURANCE,11.7678,0.2361,2
FINANCE,11.5761,0.2737,3
BANKING,11.3805,0.2465,6
FOOD & TOBACCO,5.4979,0.1984,3
FMCG,4.398,0.2133,2
PAINTS,-21.935,0.201,1
