symbol,sector,first_close,last_close,yearly_return_pct,volatility,daily_volatility,avg_close,avg_volume,cumulative_return,performance
TRENT,RETAILING,2059.1,6652.8,223.0926,0.366285,0.023074,4670.86,882024.56,2.230926,Green
BEL,DEFENCE,139.2,280.85,101.7601,0.369612,0.023283,233.57,28472446.58,1.017601,Green
M&M,AUTOMOBILES,1537.4,3012.95,95.977,0.304993,0.019213,2251.25,3093708.2,0.95977,Green
BAJAJ-AUTO,AUTOMOBILES,5016.45,9481.65,89.0112,0.27954,0.017609,8586.16,502406.59,0.890112,Green
BHARTIARTL,TELECOM,925.3,1569.3,69.599,0.216282,0.013625,1293.23,6171184.15,0.69599,Green
POWERGRID,POWER,199.55,336.95,68.8549,0.2964,0.018671,287.1,17529094.11,0.688549,Green
BPCL,ENERGY,170.68,285.85,67.4772,0.350332,0.022069,285.48,16170556.64,0.674772,Green
HEROMOTOCO,AUTOMOBILES,3015.6,4794.1,58.9767,0.262933,0.016563,4686.79,732722.87,0.589767,Green
SUNPHARMA,PHARMACEUTICALS,1141.45,1795.3,57.2824,0.186253,0.011733,1527.81,2198935.02,0.572824,Green
HCLTECH,SOFTWARE,1238.7,1898.4,53.2574,0.226921,0.014295,1541.25,2979915.71,0.532574,Green
NTPC,POWER,241.2,365.45,51.5133,0.309156,0.019475,346.28,16639937.83,0.515133,Green
EICHERMOT,AUTOMOBILES,3351.4,4986.2,48.7796,0.255562,0.016099,4321.18,635657.58,0.487796,Green
SHRIRAMFIN,FINANCE,1921.95,2850.05,48.2895,0.344265,0.021687,2571.64,1420213.38,0.482895,Green
TECHM,SOFTWARE,1216.2,1747.45,43.6811,0.254308,0.01602,1382.73,2179248.74,0.436811,Green
COALINDIA,MINING,291.9,414.05,41.8465,0.339896,0.021411,435.59,11918318.84,0.418465,Green
WIPRO,SOFTWARE,405.45,571.65,40.9915,0.277294,0.017468,484.53,7784437.67,0.409915,Green
ULTRACEMCO,CEMENT,8304.9,11375.3,36.9709,0.227237,0.014315,10265.76,352559.78,0.369709,Green
ADANIPORTS,MISCELLANEOUS,831.4,1136.75,36.7272,0.413192,0.026029,1260.53,4814566.8,0.367272,Green
ICICIBANK,BANKING,940.3,1278.05,35.9194,0.203017,0.012789,1110.06,14949379.67,0.359194,Green
HINDALCO,ALUMINIUM,479.95,652.1,35.8683,0.310931,0.019587,609.0,6997897.32,0.358683,Green
GRASIM,TEXTILES,1913.84,2598.65,35.782,0.229627,0.014465,2354.87,800653.35,0.35782,Green
APOLLOHOSP,MISCELLANEOUS,5118.95,6935.1,35.479,0.224379,0.014135,6191.42,432472.97,0.35479,Green
SBIN,BANKING,602.95,816.05,35.3429,0.284778,0.017939,742.37,17408250.02,0.353429,Green
ONGC,ENERGY,184.6,245.6,33.0444,0.353165,0.022247,260.18,18690706.78,0.330444,Green
INFY,SOFTWARE,1434.0,1902.25,32.6534,0.230052,0.014492,1629.88,6755539.12,0.326534,Green
TATAMOTORS,AUTOMOBILES,620.45,791.0,27.4881,0.283781,0.017877,896.34,12091710.93,0.274881,Green
JSWSTEEL,STEEL,770.25,977.35,26.8874,0.260087,0.016384,874.29,2225052.33,0.268874,Green
CIPLA,PHARMACEUTICALS,1182.8,1486.5,25.6764,0.259269,0.016332,1430.23,1817625.09,0.256764,Green
TCS,SOFTWARE,3513.85,4244.6,20.7963,0.208937,0.013162,3952.08,2322424.49,0.207963,Green
LT,ENGINEERING,3073.25,3603.5,17.2537,0.269294,0.016964,3483.05,2418356.5,0.172537,Green
HDFCBANK,BANKING,1508.05,1745.6,15.7521,0.214144,0.01349,1578.03,20048880.49,0.157521,Green
SBILIFE,INSURANCE,1292.45,1485.15,14.9097,0.239918,0.015113,1528.88,1349238.26,0.149097,Green
TATASTEEL,STEEL,128.0,142.78,11.5469,0.289418,0.018232,149.47,43942286.73,0.115469,Green
DRREDDY,PHARMACEUTICALS,1092.34,1214.45,11.1788,0.198274,0.01249,1232.32,2062054.76,0.111788,Green
TATACONSUM,FMCG,861.2,945.2,9.7538,0.235018,0.014805,1078.03,1728552.85,0.097538,Green
AXISBANK,BANKING,1041.05,1142.4,9.7354,0.248039,0.015625,1126.47,9618029.69,0.097354,Green
RELIANCE,ENERGY,1159.08,1265.4,9.1728,0.215291,0.013562,1388.06,12572108.19,0.091728,Green
HDFCLIFE,INSURANCE,633.55,688.2,8.626,0.232245,0.01463,642.36,4379828.31,0.08626,Green
ITC,FOOD & TOBACCO,439.75,474.65,7.9363,0.1896,0.011944,454.6,14127310.51,0.079363,Green
BRITANNIA,FOOD & TOBACCO,4495.45,4848.35,7.8502,0.206991,0.013039,5250.82,345995.86,0.078502,Green
MARUTI,AUTOMOBILES,10346.9,11063.6,6.9267,0.217679,0.013712,11631.64,560861.33,0.069267,Green
TITAN,RETAILING,3196.25,3308.7,3.5182,0.2244,0.014136,3490.9,1142673.94,0.035182,Green
BAJAJFINSV,FINANCE,1561.05,1600.85,2.5496,0.224114,0.014118,1653.23,1569381.89,0.025496,Green
KOTAKBANK,BANKING,1727.05,1761.45,1.9918,0.225667,0.014216,1772.96,5336166.3,0.019918,Green
NESTLEIND,FOOD & TOBACCO,2231.52,2247.3,0.7071,0.198699,0.012517,2490.12,932418.32,0.007071,Green
HINDUNILVR,FMCG,2468.9,2445.25,-0.9579,0.191667,0.012074,2533.72,1872679.85,-0.009579,Red
ADANIENT,MISCELLANEOUS,2387.25,2228.0,-6.6709,0.454019,0.028601,2953.06,2356295.11,-0.066709,Red
BAJFINANCE,FINANCE,7967.6,6683.95,-16.1109,0.252698,0.015918,7088.84,1179193.16,-0.161109,Red
ASIANPAINT,PAINTS,3166.85,2472.2,-21.935,0.201046,0.012665,3019.38,1214614.35,-0.21935,Red
INDUSINDBK,BANKING,1435.4,998.2,-30.4584,0.303381,0.019111,1442.36,3947158.94,-0.304584,Red
